estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-1.1792430879898800;ldhp;;;;;0.3615381945117200;2786.910891532370000;-3.2617386098929100;0.0011206608016398
2.2435074849056100;ldhp2;;;;;0.0457882761086096;7700.959016921470000;48.9974219510694000;0.0000000000000000
0.0611659811345863;ldhp*st;;;;;0.0009772062219646;8005.493456050700000;62.5927053673676000;0.0000000000000000
-1.1841578370373500;ldhp*rdhp;;;;;0.0447177253461022;8778.233550857070000;-26.4807261074286000;0.0000000000000000
0.1371359827160000;ldhp*pert;INT;;;;0.0284282376033171;6023.866077426790000;4.8239354345344700;0.0000014421704245
0.2397694687920000;ldhp*pert;MOY;;;;0.0270274408183525;5847.778215031120000;8.8713345226972700;0.0000000000000000
0.0000000000000000;ldhp*pert;NON;;;;;;;
-0.3085490920420000;ldhp*sdom;;2OUEST;;;0.1082720699104600;2981.580359964940000;-2.8497570268783300;0.0044052930550224
-0.0633401742596100;ldhp*sdom;;3EST;;;0.0941674971011100;3763.779236702060000;-0.6726330868877300;0.5012220385747700
0.1280797484952200;ldhp*sdom;;3OUEST;;;0.0797183835752500;3116.787180647280000;1.6066526032143700;0.1082318923196700
-0.2200449219494900;ldhp*sdom;;4EST;;;0.0508900558765069;3369.757325246550000;-4.3239276939187200;0.0000157715036600
0.2218513640255200;ldhp*sdom;;4OUEST;;;0.0367049634066574;2931.326646763110000;6.0441788639759400;0.0000000016915148
-0.7652410939305700;ldhp*sdom;;5EST;;;0.1431253858694500;2821.069375552240000;-5.3466482502870000;0.0000000967603626
0.1699507765698900;ldhp*sdom;;5OUEST;;;0.0298229605885430;3173.022798630020000;5.6986554391645400;0.0000000131805725
-0.0881810958773000;ldhp*sdom;;6EST;;;0.0813763142972900;2290.033269967600000;-1.0836211573204100;0.2786468811186100
0.0000000000000000;ldhp*sdom;;6OUEST;;;;;;
-0.6413181522329000;ldhp*milieu;;;;0;0.3492499641662100;2633.960265870370000;-1.8362726357437500;0.0664299877335200
-0.3617236907460900;ldhp*milieu;;;;1;0.3471203809890300;2628.998178724480000;-1.0420698713093400;0.2974751017210600
-0.4834165259825000;ldhp*milieu;;;;2;0.3465754762885000;2618.815137718170000;-1.3948376589118000;0.1631830911074400
-0.5736288775976700;ldhp*milieu;;;;3;0.3507688672969600;2652.495008194370000;-1.6353471789503000;0.1020949393424000
-0.3665830678691100;ldhp*milieu;;;;4;0.3553897472454500;2675.570369023010000;-1.0314959019229400;0.3024015588411800
-0.4092022870187600;ldhp*milieu;;;;5;0.3499116573283700;2629.694051492620000;-1.1694445682178400;0.2423305481171400
-0.6577690096812600;ldhp*milieu;;;;6;0.3507559253801500;2646.375224116240000;-1.8752898015004400;0.0608628954451843
-0.0012687564962606;ldhp*milieu;;;;7;0.1328109666361900;3710.849641185420000;-0.0095531003831639;0.9923783581465500
0.0000000000000000;ldhp*milieu;;;;8;;;;
-0.0256767899384322;ldhp*vp;;;ME1;;0.0634193918598300;4048.942320354780000;-0.4048728501714700;0.6855923640530100
-0.1806337937208900;ldhp*vp;;;MJ2;;0.0767340704501200;3175.873720071310000;-2.3540233518342300;0.0186320377350335
-0.1090840809651600;ldhp*vp;;;MS2;;0.0520797241459675;3142.903697347680000;-2.0945594999588000;0.0362900488406828
-0.0403357402815389;ldhp*vp;;;RE1;;0.0490339337418668;2869.987807249820000;-0.8226086957224600;0.4107988915875100
0.0945909119936400;ldhp*vp;;;RE2;;0.0310032520897639;3413.010298375700000;3.0509996731883700;0.0022983451692331
-0.3965063247590900;ldhp*vp;;;RE3;;0.3421113919293300;2553.839923584980000;-1.1589977244633600;0.2465654698879100
-0.2007760437272600;ldhp*vp;;;RS1;;0.1413094785364200;2180.055679751660000;-1.4208250274981700;0.1555106434597200
0.0000000000000000;ldhp*vp;;;RS2;;;;;
-0.0006580338507354;ldhp*alt;;;;;0.0001564807760673;3142.363384859530000;-4.2052056953796700;0.0000268127683117
