estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-0.8795104938054000;ldhp;;;;;0.3158014163103000;1049.866999805980000;-2.7850112392821200;0.0054488531046253
1.9596575580333300;ldhp2;;;;;0.0766973548717100;1588.679952655660000;25.5505233695602000;0.0000000000000000
0.0130232326672863;ldhp*st;;;;;0.0016424915425102;1679.166028231110000;7.9289496050512400;0.0000000000000040
-0.3539064332726000;ldhp*rdhp;;;;;0.0714756806387700;1645.479761570080000;-4.9514244580783600;0.0000008123366857
-0.3188618178743100;ldhp*vp;;;FE2;;0.0762145035562900;767.2647676153020000;-4.1837419781759000;0.0000319897831364
-0.2061509091402000;ldhp*vp;;;FE3;;0.0755070694352500;687.8721774484150000;-2.7302199738656800;0.0064912088508300
-0.2335452901381400;ldhp*vp;;;MJ1;;0.0628858803140500;724.1638167240030000;-3.7137953539298100;0.0002198706909030
-0.2162890519221700;ldhp*vp;;;MJ2;;0.0759467890901700;819.7273303535680000;-2.8479025185035500;0.0045109288573678
0.0000000000000000;ldhp*vp;;;RT1;;;;;
-0.0010426773685321;ldhp*ptot;;;;;0.0002442776928536;747.1604813668320000;-4.2684100883366200;0.0000222218283007
