estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.8257466168698800;ldhp;;;;;0.0929709472094900;59672.57927109780000;-30.3938671346699000;0.0000000000000000
2.3457764903562600;ldhp2;;;;;0.0255938332031271;58719.59092333030000;91.6539727261193000;0.0000000000000000
0.0288764286201884;ldhp*st;;;;;0.0002947696287963;61185.97889207340000;97.9626996787626000;0.0000000000000000
1.4241034006134600;ldhp*rdhp;;;;;0.0752438425103000;59607.00959472550000;18.9265108359993000;0.0000000000000000
-0.5002183493302300;ldhp2*rdhp;;;;;0.0242547637199690;58472.26659105180000;-20.6235094724260000;0.0000000000000000
0.1841072656473800;ldhp*sdom;;1;;;0.0480714890160309;45406.25199209680000;3.8298640091216800;0.0001283863104057
-0.0034289693012585;ldhp*sdom;;2EST;;;0.0314893541286032;44480.87593110700000;-0.1088929702163600;0.9132878736404900
0.2196736375784200;ldhp*sdom;;2OUEST;;;0.0363492438994467;45084.53724877030000;6.0434169741221000;0.0000000015206449
0.0374951549135287;ldhp*sdom;;3EST;;;0.0252867932797426;44383.19230752240000;1.4827959598802200;0.1381357300644000
0.2750766021696200;ldhp*sdom;;3OUEST;;;0.0249665195576090;44757.68998630470000;11.0178193454198000;0.0000000000000000
-0.2195313713604600;ldhp*sdom;;4EST;;;0.0247538379201138;44774.88006246490000;-8.8685791701852200;0.0000000000000000
0.1167751330671000;ldhp*sdom;;4OUEST;;;0.0231644004407698;44557.83822195030000;5.0411463644697700;0.0000004645610048
-0.2452230447469500;ldhp*sdom;;5EST;;;0.0246752749702000;44637.12496120670000;-9.9380065690496600;0.0000000000000000
0.1119115027880400;ldhp*sdom;;5OUEST;;;0.0235552415973380;44668.09627264600000;4.7510233476311200;0.0000020301796851
-0.3805766371672400;ldhp*sdom;;6EST;;;0.0247772256883633;43513.69625949750000;-15.3599374665253000;0.0000000000000000
0.0000000000000000;ldhp*sdom;;6OUEST;;;;;;
-0.2127582892905800;ldhp*vp;;;FE2;;0.0443108841853965;45225.02348042300000;-4.8014904961139400;0.0000015799183405
-0.1877920586385700;ldhp*vp;;;FE3;;0.0179518754668868;45924.44303545860000;-10.4608601471735000;0.0000000000000000
-0.2132816659284300;ldhp*vp;;;FE6;;0.0417543127143501;46081.81030005460000;-5.1080152459348500;0.0000003268557040
-0.2031334461242700;ldhp*vp;;;MF1;;0.0378435771271147;45907.03597612450000;-5.3677126092483400;0.0000000801274365
-0.0858715122388800;ldhp*vp;;;MJ1;;0.0155630745446963;44661.29478862910000;-5.5176444726434800;0.0000000345476147
-0.0239200112340896;ldhp*vp;;;MJ2;;0.0116300046474622;46050.57514910250000;-2.0567499290990500;0.0397159071705702
0.0834746380656700;ldhp*vp;;;MS1;;0.0124967204277726;46719.67935824240000;6.6797235761279900;0.0000000000242070
-1.3975118029328000;ldhp*vp;;;MS4;;0.0659780941713200;43148.22303112800000;-21.1814515178928000;0.0000000000000000
-0.1814136192035000;ldhp*vp;;;MS6;;0.0198599060652448;46153.03628060530000;-9.1346665290116900;0.0000000000000000
-0.2406664301229800;ldhp*vp;;;RB1;;0.0573660847837348;46728.22494739170000;-4.1952737585330200;0.0000273044567380
-0.7073387056840400;ldhp*vp;;;RB5;;0.0384087877748958;45943.00314631470000;-18.4160643087611000;0.0000000000000000
-0.3547911173918900;ldhp*vp;;;RC3;;0.0413919158701090;46484.73798909730000;-8.5715075017366700;0.0000000000000000
-0.3284298020204400;ldhp*vp;;;RE2;;0.0226697462632022;43196.15541538960000;-14.4875817403194000;0.0000000000000000
-0.1836028974521200;ldhp*vp;;;RE3;;0.0523648391999144;45349.58242309580000;-3.5062247923875000;0.0004549501206043
-0.0962549474542300;ldhp*vp;;;RP1;;0.0300601795227060;47216.94780224150000;-3.2020749370950900;0.0013653188557458
-0.1332185797627300;ldhp*vp;;;RS1;;0.0162441228524576;47053.81202328920000;-8.2010325194368200;0.0000000000000002
-0.1189314245426800;ldhp*vp;;;RS2;;0.0108824374528116;44544.13611722690000;-10.9287487346831000;0.0000000000000000
-0.0710231227084600;ldhp*vp;;;RS3;;0.0381295707564581;45889.81119154440000;-1.8626782651740100;0.0625139306101600
-0.4797289350994100;ldhp*vp;;;RS4;;0.1037977912544900;42998.76875067120000;-4.6217643872900400;0.0000038159355182
-0.0349007963861409;ldhp*vp;;;RS5;;0.0292045453651305;45990.62210558590000;-1.1950467281648400;0.2320749361294700
-0.0469046251454549;ldhp*vp;;;RT1;;0.0541270155198805;44837.28652028130000;-0.8665658857216500;0.3861845491071300
0.0000000000000000;ldhp*vp;;;XS2;;;;;
-0.0003230617091857;ldhp*alt;;;;;0.0000241792241724;43944.01873384390000;-13.3611280032324000;0.0000000000000000
0.0119349232995804;ldhp*milieu;;;;0;0.0528463543376301;45007.94135330990000;0.2258419421580000;0.8213253800442600
0.1051413138690500;ldhp*milieu;;;;1;0.0524788342109407;45144.66545250070000;2.0034994193360200;0.0451296750113986
0.0775700441456600;ldhp*milieu;;;;2;0.0508994538698069;45088.20656055180000;1.5239857846820500;0.1275192757570900
0.0069877491404158;ldhp*milieu;;;;3;0.0518147696129989;45180.44148565570000;0.1348601796863400;0.8927230246165900
0.1117651387376600;ldhp*milieu;;;;4;0.0567371374468491;45215.14327047820000;1.9698762356906900;0.0488586502277046
0.0879401311504300;ldhp*milieu;;;;5;0.0512689914771539;45068.24028908340000;1.7152693785604500;0.0863027237945700
-0.0092764801250870;ldhp*milieu;;;;6;0.0529109008772455;45220.99431664320000;-0.1753226645414400;0.8608268888181200
0.1499994706484700;ldhp*milieu;;;;7;0.0502308493700922;44115.15035036600000;2.9862021552393100;0.0028262090155292
0.0366213583275449;ldhp*milieu;;;;8;0.0402473429311711;44495.82459285160000;0.9099074786172300;0.3628762341052400
0.0000000000000000;ldhp*milieu;;;;9;;;;
-0.0002888760101903;ldhp*ptot;;;;;0.0000347659491644;43979.74127142260000;-8.3091650633361600;0.0000000000000001
-0.0442309767261348;ldhp*pert;INT;;;;0.0075943434335139;37486.06909921950000;-5.8242002239381300;0.0000000057854397
0.0009663417698402;ldhp*pert;MOY;;;;0.0059041785618761;40216.62520272970000;0.1636708239279700;0.8699911093574700
0.0000000000000000;ldhp*pert;NON;;;;;;;
